name,sku,stock,price
Laptop Dell XPS 13,LAP-XPS13,25,85000
Wireless Mouse Logitech,MOU-LOG01,150,650
Mechanical Keyboard,KEY-MEC01,80,2500
24 inch Monitor Samsung,MON-SAM24,45,18000
USB-C Hub,HUB-USBC,200,1200
Laptop HP Pavilion,LAP-HP15,30,55000
Gaming Mouse,MOU-GAM01,95,1800
Webcam HD 1080p,CAM-HD01,120,3500
Headphones Wireless,HEAD-WL01,65,4500
External SSD 1TB,SSD-1TB,110,8500
Power Bank 20000mAh,PWR-20K,180,2200
HDMI Cable 2m,CBL-HDMI2,300,450
Screen Protector Laptop 15inch,ACC-SP15,250,350
Laptop Bag,BAG-LP01,90,1500
Cooling Pad,ACC-COOL,75,1100